Interval Beginning (EST),kWh
5/2/2022 0:00,1533.6
5/2/2022 0:15,1490.4
5/2/2022 0:30,1425.6
5/2/2022 0:45,1414.8
5/2/2022 1:00,1371.6
5/2/2022 1:15,1414.8
5/2/2022 1:30,1512
5/2/2022 1:45,1512
5/2/2022 2:00,1501.2
5/2/2022 2:15,2008.8
5/2/2022 2:30,3520.8
5/2/2022 2:45,5227.2
5/2/2022 3:00,3412.8
5/2/2022 3:15,2700
5/2/2022 3:30,1479.6
5/2/2022 3:45,2073.6
5/2/2022 4:00,5497.2
5/2/2022 4:15,3304.8
5/2/2022 4:30,3585.6
5/2/2022 4:45,4395.6
5/2/2022 5:00,3121.2
5/2/2022 5:15,4827.6
5/2/2022 5:30,3628.8
5/2/2022 5:45,4546.8
5/2/2022 6:00,3758.4
5/2/2022 6:15,3834
5/2/2022 6:30,1868.4
5/2/2022 6:45,1695.6
5/2/2022 7:00,2937.6
5/2/2022 7:15,5400
5/2/2022 7:30,5508
5/2/2022 7:45,3240
5/2/2022 8:00,3704.4
5/2/2022 8:15,5842.8
5/2/2022 8:30,5983.2
5/2/2022 8:45,5983.2
5/2/2022 9:00,4384.8
5/2/2022 9:15,3250.8
5/2/2022 9:30,2041.2
5/2/2022 9:45,1501.2
5/2/2022 10:00,2818.8
5/2/2022 10:15,5421.6
5/2/2022 10:30,5475.6
5/2/2022 10:45,2635.2
5/2/2022 11:00,4644
5/2/2022 11:15,5745.6
5/2/2022 11:30,5475.6
5/2/2022 11:45,3639.6
5/2/2022 12:00,5022
5/2/2022 12:15,3034.8
5/2/2022 12:30,3801.6
5/2/2022 12:45,1360.8
5/2/2022 13:00,1328.4
5/2/2022 13:15,1393.2
5/2/2022 13:30,5054.4
5/2/2022 13:45,5302.8
5/2/2022 14:00,3510
5/2/2022 14:15,1652.4
5/2/2022 14:30,5562
5/2/2022 14:45,5875.2
5/2/2022 15:00,5356.8
5/2/2022 15:15,5119.2
5/2/2022 15:30,1825.2
5/2/2022 15:45,3823.2
5/2/2022 16:00,3790.8
5/2/2022 16:15,3315.6
5/2/2022 16:30,1501.2
5/2/2022 16:45,1447.2
5/2/2022 17:00,2095.2
5/2/2022 17:15,4352.4
5/2/2022 17:30,5227.2
5/2/2022 17:45,5054.4
5/2/2022 18:00,1609.2
5/2/2022 18:15,3024
5/2/2022 18:30,5648.4
5/2/2022 18:45,5389.2
5/2/2022 19:00,3315.6
5/2/2022 19:15,1663.2
5/2/2022 19:30,1674
5/2/2022 19:45,1771.2
5/2/2022 20:00,5540.4
5/2/2022 20:15,2149.2
5/2/2022 20:30,1576.8
5/2/2022 20:45,1620
5/2/2022 21:00,1609.2
5/2/2022 21:15,1641.6
5/2/2022 21:30,1620
5/2/2022 21:45,1620
5/2/2022 22:00,1576.8
5/2/2022 22:15,5130
5/2/2022 22:30,4330.8
5/2/2022 22:45,4384.8
5/2/2022 23:00,1544.4
5/2/2022 23:15,1458
5/2/2022 23:30,1414.8
5/2/2022 23:45,3693.6
5/3/2022 0:00,5972.4
5/3/2022 0:15,4881.6
5/3/2022 0:30,1404
5/3/2022 0:45,5054.4
5/3/2022 1:00,2138.4
5/3/2022 1:15,1447.2
5/3/2022 1:30,1414.8
5/3/2022 1:45,2160
5/3/2022 2:00,5119.2
5/3/2022 2:15,4957.2
5/3/2022 2:30,5626.8
5/3/2022 2:45,4816.8
5/3/2022 3:00,1879.2
5/3/2022 3:15,2365.2
5/3/2022 3:30,1468.8
5/3/2022 3:45,1512
5/3/2022 4:00,1522.8
5/3/2022 4:15,1598.4
5/3/2022 4:30,1598.4
5/3/2022 4:45,1728
5/3/2022 5:00,1825.2
5/3/2022 5:15,1814.4
5/3/2022 5:30,1782
5/3/2022 5:45,1782
5/3/2022 6:00,1792.8
5/3/2022 6:15,1803.6
5/3/2022 6:30,1846.8
5/3/2022 6:45,1911.6
5/3/2022 7:00,5810.4
5/3/2022 7:15,6048
5/3/2022 7:30,3920.4
5/3/2022 7:45,4039.2
5/3/2022 8:00,6285.6
5/3/2022 8:15,5000.4
5/3/2022 8:30,1976.4
5/3/2022 8:45,1965.6
5/3/2022 9:00,2019.6
5/3/2022 9:15,1792.8
5/3/2022 9:30,1728
5/3/2022 9:45,1706.4
5/3/2022 10:00,4028.4
5/3/2022 10:15,5886
5/3/2022 10:30,5713.2
5/3/2022 10:45,1782
5/3/2022 11:00,4514.4
5/3/2022 11:15,2602.8
5/3/2022 11:30,1738.8
5/3/2022 11:45,1771.2
5/3/2022 12:00,3585.6
5/3/2022 12:15,6220.8
5/3/2022 12:30,6177.6
5/3/2022 12:45,1954.8
5/3/2022 13:00,4417.2
5/3/2022 13:15,6220.8
5/3/2022 13:30,6285.6
5/3/2022 13:45,5788.8
5/3/2022 14:00,2419.2
5/3/2022 14:15,1792.8
5/3/2022 14:30,1879.2
5/3/2022 14:45,3812.4
5/3/2022 15:00,5918.4
5/3/2022 15:15,2278.8
5/3/2022 15:30,4190.4
5/3/2022 15:45,2073.6
5/3/2022 16:00,1965.6
5/3/2022 16:15,1900.8
5/3/2022 16:30,2041.2
5/3/2022 16:45,4989.6
5/3/2022 17:00,6242.4
5/3/2022 17:15,4838.4
5/3/2022 17:30,1641.6
5/3/2022 17:45,1587.6
5/3/2022 18:00,1587.6
5/3/2022 18:15,1522.8
5/3/2022 18:30,1544.4
5/3/2022 18:45,1544.4
5/3/2022 19:00,1533.6
5/3/2022 19:15,2905.2
5/3/2022 19:30,5508
5/3/2022 19:45,5508
5/3/2022 20:00,4060.8
5/3/2022 20:15,5270.4
5/3/2022 20:30,5248.8
5/3/2022 20:45,3823.2
5/3/2022 21:00,1555.2
5/3/2022 21:15,1587.6
5/3/2022 21:30,4492.8
5/3/2022 21:45,5605.2
5/3/2022 22:00,4168.8
5/3/2022 22:15,1458
5/3/2022 22:30,5119.2
5/3/2022 22:45,5432.4
5/3/2022 23:00,3736.8
5/3/2022 23:15,4471.2
5/3/2022 23:30,5346
5/3/2022 23:45,2214
5/4/2022 0:00,1544.4
5/4/2022 0:15,1598.4
5/4/2022 0:30,1566
5/4/2022 0:45,1544.4
5/4/2022 1:00,1458
5/4/2022 1:15,4924.8
5/4/2022 1:30,5281.2
5/4/2022 1:45,3844.8
5/4/2022 2:00,1382.4
5/4/2022 2:15,3726
